"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 20:53:03 GMT 2023","Thu Apr 06 20:53:12 GMT 2023","8747","","Validate Search","","","","Validate search functionality - provide a search term",""
"passed","Thu Apr 06 20:51:54 GMT 2023","Thu Apr 06 20:52:04 GMT 2023","10049","","Validate Contact Us Form","","","","Validate unsuccessful submission of contact form - Incorrect email",""
"failed","Thu Apr 06 20:52:04 GMT 2023","Thu Apr 06 20:52:38 GMT 2023","34119","","Validate Contact Us Form","","","","Validate unsuccessful submission of contact form - Leave required fields empty",""
"failed","Thu Apr 06 20:50:28 GMT 2023","Thu Apr 06 20:51:12 GMT 2023","44344","","Validate Contact Us Form","","","","Validate successful submission of contact form - Fill in all required fields",""
"failed","Thu Apr 06 20:51:12 GMT 2023","Thu Apr 06 20:51:53 GMT 2023","41047","","Validate Contact Us Form","","","","Validate successful submission of contact form - Fill in all required fields with Desired use case",""
