"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 05:18:05 GMT 2023","Sun Apr 09 05:18:16 GMT 2023","11396","","Validate Search","","","","Validate search functionality - provide a search term",""
"failed","Sun Apr 09 05:16:59 GMT 2023","Sun Apr 09 05:17:34 GMT 2023","35676","","Validate Contact Us Form","","","","Validate unsuccessful submission of contact form - Leave required fields empty",""
"failed","Sun Apr 09 05:15:14 GMT 2023","Sun Apr 09 05:16:01 GMT 2023","47178","","Validate Contact Us Form","","","","Validate successful submission of contact form - Fill in all required fields",""
"failed","Sun Apr 09 05:16:01 GMT 2023","Sun Apr 09 05:16:45 GMT 2023","43400","","Validate Contact Us Form","","","","Validate successful submission of contact form - Fill in all required fields with Desired use case",""
"passed","Sun Apr 09 05:16:45 GMT 2023","Sun Apr 09 05:16:58 GMT 2023","13799","","Validate Contact Us Form","","","","Validate unsuccessful submission of contact form - Incorrect email",""
